iter	Logloss
0	0.6426029338
1	0.5980171542
2	0.5613884823
3	0.5289480717
4	0.5010298258
5	0.4773509159
6	0.4562969189
7	0.438338478
8	0.4229388335
9	0.4092203204
10	0.3969067447
11	0.3865540481
12	0.3773678576
13	0.3689395522
14	0.3618497998
15	0.3554653401
16	0.3488171786
17	0.3430211952
18	0.33774101
19	0.3331771823
20	0.3293902873
21	0.3255651039
22	0.3221242969
23	0.318840337
24	0.3154428093
25	0.3121563792
26	0.3093308317
27	0.3062831007
28	0.3041641081
29	0.3018741993
30	0.29949049
31	0.2975121323
32	0.2953833132
33	0.2935130917
34	0.2918901887
35	0.2902484687
36	0.2886528296
37	0.2872489033
38	0.2856301679
39	0.2843546549
40	0.2830287039
41	0.2817907305
42	0.2805283255
43	0.2794100042
44	0.2782225327
45	0.2770572474
46	0.2761212209
47	0.2750252347
48	0.2740529414
49	0.273139195
50	0.2721727305
51	0.2712310096
52	0.270678511
53	0.2698159357
54	0.2687778628
55	0.2680487549
56	0.2672669201
57	0.2665996552
58	0.2657651199
59	0.2650646006
60	0.2643630862
61	0.2636500974
62	0.2629356914
63	0.2622513344
64	0.2616320882
65	0.2610544544
66	0.260508853
67	0.259895338
68	0.2592718838
69	0.2586848762
70	0.2581268194
71	0.2575207425
72	0.2569972457
73	0.2565396439
74	0.2560123412
75	0.2554308348
76	0.254947527
77	0.2544896981
78	0.2541519318
79	0.2536023814
80	0.2531319754
81	0.2526028241
82	0.252255819
83	0.2519093343
84	0.2515327298
85	0.2511340943
86	0.2507594281
87	0.2503691798
88	0.2500311643
89	0.2496602141
90	0.2493428627
91	0.2490109025
92	0.248679411
93	0.2481869855
94	0.2478891189
95	0.2475668385
96	0.2472468611
97	0.2469347833
98	0.2465653997
99	0.246179304
100	0.2457298721
101	0.2454143885
102	0.2450952272
103	0.2447252192
104	0.2444392093
105	0.2440896108
106	0.2437187378
107	0.2434174063
108	0.2431313077
109	0.2428059452
110	0.2424833755
111	0.2422135707
112	0.2418807626
113	0.2416367806
114	0.2413750541
115	0.2411761641
116	0.2408378197
117	0.2406152083
118	0.2403680329
119	0.240065681
120	0.2398022706
121	0.2396145761
122	0.2393601262
123	0.2391592341
124	0.2388993789
125	0.2386069563
126	0.2383424574
127	0.2380898375
128	0.2379100597
129	0.2377169361
130	0.2374363193
131	0.2372099387
132	0.237000778
133	0.2367917756
134	0.2365674887
135	0.2362689679
136	0.2360804419
137	0.2358905009
138	0.2356398439
139	0.235417381
140	0.2351051884
141	0.2348408724
142	0.2346511992
143	0.234408396
144	0.234116391
145	0.2339768156
146	0.2338288166
147	0.2336450801
148	0.2334327696
149	0.2332763997
150	0.2330330809
151	0.2328103754
152	0.2326406033
153	0.2324456202
154	0.2322949734
155	0.232047219
156	0.2318800851
157	0.2316775179
158	0.2314075104
159	0.2312708809
160	0.2310398969
161	0.2308694365
162	0.2307405353
163	0.2305458377
164	0.2303557915
165	0.2301880667
166	0.2300279895
167	0.229784195
168	0.2295945746
169	0.2294397278
170	0.2292917736
171	0.2291106748
172	0.2289854355
173	0.228808549
174	0.2286806343
175	0.2285621496
176	0.2284336184
177	0.2282937565
178	0.2281495241
179	0.227921797
180	0.227761976
181	0.2276306928
182	0.2274336757
183	0.2272556128
184	0.2270846064
185	0.226940593
186	0.2267796393
187	0.2266471209
188	0.2264657028
189	0.2263449804
190	0.2261562092
191	0.2259887495
192	0.2258583317
193	0.2257528208
194	0.2256261945
195	0.2255213705
196	0.2253809297
197	0.2251914684
198	0.225093191
199	0.2249592029
200	0.2248646953
201	0.224719043
202	0.2246095861
203	0.2245127597
204	0.2243950719
205	0.224166886
206	0.2239766664
207	0.2238451779
208	0.2236793558
209	0.2235645939
210	0.2234409344
211	0.2232542892
212	0.2231363158
213	0.2229772777
214	0.2228689264
215	0.2227254293
216	0.222617953
217	0.2224471427
218	0.222289156
219	0.222146762
220	0.222054484
221	0.2219251302
222	0.2217497506
223	0.2216061537
224	0.221498162
225	0.2214030722
226	0.2212532505
227	0.2210945444
228	0.2209884491
229	0.2208384105
230	0.2206871834
231	0.2205895575
232	0.2204758304
233	0.2203952299
234	0.2202822563
235	0.2201710012
236	0.2200538972
237	0.2199679007
238	0.2198621131
239	0.2197697218
240	0.2196402038
241	0.2194817797
242	0.2193085242
243	0.2192284514
244	0.219108513
245	0.2190131633
246	0.2188920068
247	0.2188263003
248	0.2187416242
249	0.2186541648
250	0.2185040376
251	0.2183926868
252	0.2183138446
253	0.2181560357
254	0.2180854153
255	0.217973519
256	0.2178685548
257	0.2176948978
258	0.2176138872
259	0.217511146
260	0.217411811
261	0.2173062523
262	0.2171640656
263	0.2170836176
264	0.2170035415
265	0.21688867
266	0.2167648226
267	0.2166727045
268	0.216555188
269	0.2164248347
270	0.216292899
271	0.2162172997
272	0.2160899998
273	0.2159862718
274	0.2158521197
275	0.215771306
276	0.2156939367
277	0.2155726717
278	0.2154595182
279	0.2153624426
280	0.2152701303
281	0.2151622722
282	0.2150429368
283	0.2148999425
284	0.2147827192
285	0.2147015152
286	0.2145788302
287	0.2144922162
288	0.2143727468
289	0.2143077542
290	0.2142111161
291	0.2141406092
292	0.2140548642
293	0.2139411161
294	0.2138776533
295	0.2137660407
296	0.2136634055
297	0.2135389038
298	0.213442048
299	0.2133724327
300	0.2132336077
301	0.2131253166
302	0.2130256302
303	0.2129545079
304	0.2128189085
305	0.2127350498
306	0.2126396983
307	0.2125225666
308	0.2124301219
309	0.2123104817
310	0.212234973
311	0.2121553052
312	0.2120696309
313	0.2119406507
314	0.2118465453
315	0.2117396233
316	0.2116875781
317	0.2116003478
318	0.2115454719
319	0.2114582817
320	0.2113460134
321	0.2112869392
322	0.211171357
323	0.2110623358
324	0.210962824
325	0.2108655847
326	0.2107947357
327	0.2106723531
328	0.2106123247
329	0.2105284753
330	0.2104056279
331	0.2103471056
332	0.21023041
333	0.2101553153
334	0.2100596734
335	0.2099860167
336	0.209900664
337	0.209838077
338	0.2097414989
339	0.2096766375
340	0.2095926781
341	0.2094885854
342	0.2094087023
343	0.2093055392
344	0.2092196696
345	0.2091573621
346	0.2090627295
347	0.2089908956
348	0.2088846674
349	0.2088238004
350	0.2087368038
351	0.2086694913
352	0.2085862229
353	0.2084743489
354	0.2084157693
355	0.2083721666
356	0.2082889776
357	0.2081809531
358	0.208109923
359	0.2080444205
360	0.2079433089
