iter	Passed	Remaining
0	15	7860
1	32	8038
2	45	7524
3	59	7370
4	74	7423
5	88	7249
6	104	7385
7	118	7271
8	129	7062
9	145	7148
10	158	7046
11	172	7003
12	186	6971
13	199	6910
14	211	6832
15	224	6804
16	236	6712
17	248	6660
18	265	6730
19	281	6744
20	292	6675
21	303	6601
22	314	6516
23	325	6460
24	339	6442
25	351	6409
26	367	6441
27	383	6456
28	394	6399
29	406	6374
30	419	6346
31	433	6338
32	448	6341
33	462	6337
34	474	6299
35	485	6255
36	497	6225
37	510	6208
38	528	6248
39	552	6348
40	575	6445
41	595	6498
42	615	6543
43	631	6545
44	644	6520
45	666	6578
46	685	6611
47	704	6633
48	725	6678
49	743	6688
50	762	6716
51	780	6728
52	801	6758
53	821	6786
54	838	6783
55	849	6735
56	864	6720
57	886	6755
58	908	6789
59	931	6828
60	950	6837
61	972	6872
62	990	6869
63	1011	6890
64	1031	6904
65	1047	6889
66	1058	6843
67	1071	6806
68	1081	6755
69	1096	6733
70	1107	6691
71	1120	6658
72	1131	6616
73	1142	6578
74	1152	6532
75	1164	6494
76	1174	6451
77	1188	6428
78	1200	6396
79	1213	6369
80	1225	6339
81	1237	6307
82	1247	6268
83	1258	6230
84	1270	6203
85	1281	6168
86	1292	6137
87	1304	6106
88	1315	6074
89	1326	6042
90	1338	6017
91	1348	5979
92	1359	5951
93	1374	5935
94	1384	5903
95	1397	5882
96	1410	5858
97	1422	5833
98	1433	5806
99	1444	5778
100	1459	5764
101	1473	5747
102	1484	5721
103	1497	5703
104	1509	5678
105	1524	5666
106	1535	5641
107	1546	5614
108	1556	5585
109	1568	5560
110	1580	5537
111	1589	5506
112	1600	5482
113	1611	5456
114	1622	5432
115	1632	5404
116	1643	5380
117	1653	5352
118	1663	5327
119	1676	5308
120	1688	5289
121	1702	5274
122	1715	5257
123	1726	5233
124	1738	5215
125	1751	5198
126	1764	5182
127	1778	5170
128	1788	5144
129	1799	5123
130	1812	5105
131	1825	5088
132	1837	5070
133	1849	5051
134	1862	5036
135	1876	5022
136	1887	5001
137	1902	4990
138	1916	4976
139	1927	4957
140	1941	4944
141	1954	4928
142	1964	4903
143	1980	4897
144	1992	4877
145	2001	4852
146	2011	4830
147	2023	4813
148	2041	4808
149	2062	4812
150	2078	4803
151	2090	4786
152	2102	4767
153	2111	4743
154	2122	4724
155	2136	4710
156	2154	4707
157	2174	4706
158	2190	4698
159	2201	4677
160	2212	4659
161	2223	4640
162	2234	4619
163	2245	4600
164	2259	4586
165	2269	4565
166	2279	4544
167	2299	4543
168	2321	4547
169	2340	4542
170	2357	4535
171	2372	4523
172	2383	4504
173	2395	4487
174	2408	4473
175	2421	4458
176	2441	4455
177	2461	4452
178	2477	4443
179	2490	4427
180	2503	4411
181	2514	4393
182	2525	4374
183	2536	4356
184	2547	4338
185	2559	4321
186	2573	4307
187	2587	4293
188	2599	4277
189	2610	4259
190	2620	4239
191	2630	4219
192	2640	4200
193	2654	4186
194	2666	4170
195	2677	4152
196	2690	4138
197	2706	4128
198	2718	4111
199	2735	4102
200	2744	4082
201	2755	4064
202	2764	4044
203	2774	4026
204	2785	4007
205	2798	3994
206	2812	3980
207	2822	3962
208	2834	3945
209	2845	3929
210	2857	3913
211	2868	3897
212	2879	3880
213	2891	3864
214	2904	3850
215	2923	3844
216	2935	3827
217	2946	3810
218	2963	3801
219	2977	3789
220	2987	3771
221	2998	3755
222	3017	3748
223	3029	3732
224	3039	3715
225	3048	3696
226	3062	3683
227	3076	3670
228	3087	3653
229	3101	3640
230	3111	3623
231	3122	3607
232	3132	3589
233	3141	3571
234	3154	3557
235	3165	3540
236	3177	3526
237	3186	3508
238	3197	3491
239	3206	3473
240	3218	3458
241	3231	3444
242	3243	3430
243	3253	3413
244	3263	3396
245	3274	3380
246	3285	3365
247	3295	3349
248	3305	3332
249	3317	3317
250	3329	3302
251	3342	3289
252	3353	3274
253	3370	3264
254	3380	3247
255	3390	3231
256	3401	3216
257	3415	3203
258	3431	3192
259	3449	3183
260	3467	3174
261	3479	3160
262	3493	3147
263	3503	3132
264	3513	3115
265	3524	3100
266	3538	3087
267	3550	3073
268	3561	3058
269	3574	3045
270	3587	3031
271	3596	3014
272	3610	3002
273	3620	2986
274	3630	2970
275	3641	2955
276	3652	2940
277	3664	2926
278	3676	2911
279	3687	2896
280	3696	2881
281	3707	2866
282	3719	2852
283	3733	2839
284	3744	2824
285	3755	2810
286	3769	2797
287	3783	2784
288	3795	2770
289	3804	2755
290	3816	2740
291	3825	2724
292	3836	2710
293	3850	2697
294	3860	2683
295	3874	2670
296	3886	2656
297	3899	2643
298	3909	2628
299	3919	2612
300	3929	2597
301	3943	2585
302	3955	2571
303	3964	2556
304	3978	2543
305	3989	2529
306	4001	2515
307	4013	2501
308	4024	2487
309	4043	2478
310	4054	2463
311	4064	2449
312	4075	2434
313	4085	2420
314	4098	2406
315	4109	2392
316	4118	2377
317	4130	2363
318	4140	2349
319	4152	2335
320	4165	2322
321	4174	2307
322	4185	2293
323	4196	2279
324	4209	2266
325	4221	2253
326	4231	2238
327	4245	2226
328	4255	2212
329	4268	2198
330	4280	2185
331	4290	2170
332	4302	2157
333	4315	2144
334	4326	2130
335	4335	2116
336	4348	2103
337	4358	2088
338	4371	2076
339	4383	2062
340	4393	2048
341	4404	2035
342	4419	2023
343	4431	2009
344	4443	1996
345	4453	1982
346	4464	1968
347	4476	1955
348	4489	1942
349	4500	1928
350	4513	1915
351	4523	1901
352	4534	1888
353	4548	1875
354	4557	1861
355	4568	1847
356	4582	1835
357	4593	1822
358	4606	1809
359	4616	1795
360	4627	1781
361	4638	1768
362	4649	1754
363	4662	1742
364	4674	1728
365	4686	1715
366	4695	1701
367	4705	1687
368	4714	1673
369	4726	1660
370	4737	1647
371	4749	1634
372	4761	1621
373	4770	1607
374	4784	1594
375	4797	1582
376	4806	1568
377	4819	1555
378	4831	1542
379	4842	1529
380	4853	1515
381	4867	1503
382	4880	1491
383	4894	1478
384	4907	1465
385	4917	1452
386	4927	1438
387	4938	1425
388	4949	1412
389	4960	1399
390	4971	1385
391	4984	1373
392	4995	1360
393	5007	1347
